y,udnew,OI,net,opmcl,short
1 ,101.00 ,56995.00 ,12206.00 ,21.00 ,40118.00 
0 ,-25.00 ,55514.00 ,9484.00 ,-18.00 ,37677.00 
0 ,-21.00 ,54876.00 ,8332.00 ,-3.00 ,39584.00 
1 ,49.00 ,56442.00 ,11020.00 ,-6.00 ,41989.00 
0 ,-53.00 ,55718.00 ,6643.00 ,45.00 ,49597.00 
0 ,-158.00 ,55852.00 ,1976.00 ,-59.00 ,36939.00 
0 ,-29.00 ,54542.00 ,2242.00 ,25.00 ,41610.00 
1 ,48.00 ,54707.00 ,5494.00 ,-36.00 ,43349.00 
0 ,0.00 ,54923.00 ,3602.00 ,11.00 ,42339.00 
1 ,47.00 ,55119.00 ,7667.00 ,0.00 ,43001.00 
0 ,-38.00 ,56760.00 ,3378.00 ,-11.00 ,45496.00 
1 ,-130.00 ,55385.00 ,-1461.00 ,47.00 ,43523.00 
1 ,-19.00 ,56984.00 ,5938.00 ,-142.00 ,44306.00 
0 ,-61.00 ,54591.00 ,314.00 ,32.00 ,40727.00 
1 ,-64.00 ,54591.00 ,2894.00 ,-32.00 ,40586.00 
0 ,-65.00 ,55888.00 ,-4792.00 ,-48.00 ,38461.00 
0 ,40.00 ,53081.00 ,-5593.00 ,-21.00 ,37264.00 
1 ,48.00 ,52488.00 ,-4157.00 ,55.00 ,38191.00 
0 ,-97.00 ,53110.00 ,-4261.00 ,-12.00 ,39603.00 
0 ,-143.00 ,55944.00 ,-11700.00 ,-76.00 ,37471.00 
0 ,-9.00 ,53593.00 ,-11171.00 ,51.00 ,36844.00 
1 ,50.00 ,44234.00 ,-8789.00 ,2.00 ,37217.00 
1 ,33.00 ,44234.00 ,-7920.00 ,-1.00 ,42211.00 
1 ,-201.00 ,20488.00 ,-8061.00 ,9.00 ,48996.00 
0 ,-419.00 ,47375.00 ,-12608.00 ,-224.00 ,30308.00 
1 ,-122.00 ,47375.00 ,-14309.00 ,-150.00 ,31749.00 
1 ,-45.00 ,45752.00 ,-16069.00 ,-30.00 ,28796.00 
1 ,21.00 ,48771.00 ,-16172.00 ,-16.00 ,32725.00 
0 ,131.00 ,48821.00 ,-14583.00 ,46.00 ,33961.00 
0 ,117.00 ,44939.00 ,-15187.00 ,97.00 ,35640.00 
1 ,103.00 ,40785.00 ,-4125.00 ,40.00 ,40015.00 
1 ,77.00 ,42951.00 ,-1876.00 ,-10.00 ,38437.00 
0 ,-19.00 ,42601.00 ,-2510.00 ,2.00 ,42359.00 
0 ,-67.00 ,42890.00 ,-2532.00 ,-22.00 ,41112.00 
0 ,74.00 ,42091.00 ,-2453.00 ,28.00 ,36423.00 
1 ,113.00 ,41791.00 ,965.00 ,43.00 ,39134.00 
0 ,-134.00 ,43036.00 ,-5474.00 ,-9.00 ,36187.00 
1 ,108.00 ,42017.00 ,664.00 ,0.00 ,39075.00 
1 ,185.00 ,42867.00 ,4492.00 ,16.00 ,43220.00 
1 ,205.00 ,42857.00 ,3993.00 ,148.00 ,43084.00 
0 ,-23.00 ,42857.00 ,1587.00 ,0.00 ,43862.00 
1 ,47.00 ,36824.00 ,-15.00 ,-42.00 ,39604.00 
0 ,-7.00 ,25763.00 ,-2729.00 ,14.00 ,47835.00 
1 ,-72.00 ,15533.00 ,2381.00 ,-21.00 ,44726.00 
0 ,-183.00 ,42784.00 ,-682.00 ,-84.00 ,32358.00 
