y,udnew,OI,net,opmcl,short
0 ,-168.00 ,22509.00 ,242.00 ,-13.00 ,32358.00 
0 ,-198.00 ,56833.00 ,-2570.00 ,-91.00 ,31705.00 
1 ,23.00 ,60653.00 ,2020.00 ,-72.00 ,37205.00 
1 ,45.00 ,60196.00 ,1059.00 ,41.00 ,37142.00 
1 ,91.00 ,64036.00 ,5132.00 ,19.00 ,42900.00 
0 ,29.00 ,64274.00 ,2002.00 ,25.00 ,40240.00 
0 ,-98.00 ,62745.00 ,-3587.00 ,-8.00 ,36833.00 
1 ,35.00 ,65862.00 ,986.00 ,-20.00 ,42085.00 
0 ,-19.00 ,69477.00 ,-2029.00 ,39.00 ,42237.00 
1 ,73.00 ,70978.00 ,3009.00 ,7.00 ,47557.00 
0 ,-178.00 ,70806.00 ,-7020.00 ,19.00 ,40376.00 
1 ,-30.00 ,73638.00 ,-6129.00 ,-54.00 ,42466.00 
1 ,-2.00 ,72329.00 ,-8561.00 ,9.00 ,40324.00 
0 ,-206.00 ,72785.00 ,-17406.00 ,-36.00 ,34287.00 
1 ,14.00 ,71295.00 ,-9451.00 ,-18.00 ,39546.00 
0 ,-45.00 ,72607.00 ,-11934.00 ,14.00 ,38686.00 
0 ,39.00 ,71647.00 ,-7101.00 ,-41.00 ,42366.00 
1 ,62.00 ,70082.00 ,-13362.00 ,42.00 ,38321.00 
0 ,-7.00 ,69351.00 ,-12494.00 ,13.00 ,37727.00 
1 ,106.00 ,66188.00 ,-5519.00 ,10.00 ,39565.00 
0 ,11.00 ,62989.00 ,-7727.00 ,29.00 ,36133.00 
0 ,-7.00 ,57135.00 ,-8952.00 ,-9.00 ,35023.00 
0 ,-41.00 ,45979.00 ,-15096.00 ,10.00 ,36563.00 
1 ,113.00 ,36696.00 ,-5085.00 ,21.00 ,45686.00 
1 ,23.00 ,23783.00 ,-3235.00 ,16.00 ,33930.00 
0 ,-26.00 ,61728.00 ,-7085.00 ,-15.00 ,34265.00 
1 ,156.00 ,67426.00 ,-516.00 ,19.00 ,41742.00 
0 ,8.00 ,70644.00 ,-4537.00 ,8.00 ,42000.00 
1 ,30.00 ,70962.00 ,-5631.00 ,-5.00 ,40490.00 
1 ,102.00 ,75732.00 ,-2241.00 ,31.00 ,46345.00 
0 ,-21.00 ,77188.00 ,-2989.00 ,15.00 ,46718.00 
1 ,-5.00 ,77522.00 ,-2338.00 ,-22.00 ,47991.00 
1 ,41.00 ,78963.00 ,-6268.00 ,2.00 ,45976.00 
0 ,-113.00 ,73812.00 ,-13907.00 ,-16.00 ,36885.00 
1 ,38.00 ,74146.00 ,-10193.00 ,6.00 ,40745.00 
0 ,-5.00 ,73250.00 ,-11401.00 ,-2.00 ,39654.00 
0 ,2.00 ,72187.00 ,-13187.00 ,20.00 ,37719.00 
1 ,-26.00 ,73375.00 ,-10648.00 ,20.00 ,41240.00 
0 ,-53.00 ,72031.00 ,-16138.00 ,-49.00 ,38774.00 
0 ,-22.00 ,72269.00 ,-16889.00 ,29.00 ,38492.00 
0 ,-95.00 ,72785.00 ,-16967.00 ,24.00 ,44030.00 
1 ,-27.00 ,59014.00 ,-13472.00 ,-40.00 ,52432.00 
0 ,-24.00 ,41685.00 ,-17801.00 ,0.00 ,43278.00 
1 ,81.00 ,30285.00 ,-11882.00 ,42.00 ,29049.00 
1 ,109.00 ,59948.00 ,-14617.00 ,62.00 ,27583.00 
0 ,-39.00 ,62726.00 ,-17714.00 ,40.00 ,25671.00 
0 ,-157.00 ,65419.00 ,-21472.00 ,-61.00 ,24637.00 
1 ,-33.00 ,63738.00 ,-16993.00 ,-22.00 ,26280.00 
1 ,44.00 ,64158.00 ,-19383.00 ,-19.00 ,25953.00 
0 ,-168.00 ,66596.00 ,-27364.00 ,32.00 ,21397.00 
1 ,-35.00 ,66810.00 ,-20338.00 ,-68.00 ,26519.00 
0 ,-21.00 ,67930.00 ,-23402.00 ,9.00 ,25583.00 
0 ,-38.00 ,71320.00 ,-26886.00 ,-20.00 ,27088.00 
1 ,-71.00 ,69455.00 ,-24770.00 ,-48.00 ,28000.00 
1 ,24.00 ,69659.00 ,-25242.00 ,-60.00 ,27459.00 
1 ,106.00 ,67897.00 ,-24710.00 ,12.00 ,26683.00 
0 ,-64.00 ,69485.00 ,-33866.00 ,0.00 ,21614.00 
0 ,-99.00 ,66440.00 ,-30239.00 ,-51.00 ,23063.00 
0 ,-21.00 ,65891.00 ,-25670.00 ,-32.00 ,25388.00 
0 ,-134.00 ,56780.00 ,-23134.00 ,65.00 ,26643.00 
0 ,-250.00 ,51022.00 ,-21409.00 ,-182.00 ,36533.00 
1 ,31.00 ,39501.00 ,-19015.00 ,18.00 ,38512.00 
0 ,-160.00 ,26989.00 ,-20392.00 ,0.00 ,21198.00 
1 ,12.00 ,58445.00 ,-19535.00 ,-63.00 ,22764.00 
0 ,-29.00 ,61962.00 ,-19427.00 ,30.00 ,24542.00 
1 ,156.00 ,58508.00 ,-13010.00 ,100.00 ,26788.00 
0 ,88.00 ,59569.00 ,-11701.00 ,-5.00 ,27294.00 
0 ,93.00 ,59078.00 ,-10846.00 ,109.00 ,28928.00 
0 ,-2.00 ,56681.00 ,-10538.00 ,-12.00 ,28183.00 
0 ,-47.00 ,60833.00 ,-13883.00 ,20.00 ,29132.00 
0 ,25.00 ,60471.00 ,-7463.00 ,34.00 ,30767.00 
1 ,190.00 ,58262.00 ,-3384.00 ,23.00 ,33341.00 
1 ,86.00 ,55818.00 ,-4084.00 ,41.00 ,32858.00 
0 ,8.00 ,57741.00 ,-6747.00 ,-1.00 ,31469.00 
1 ,99.00 ,56186.00 ,-6620.00 ,8.00 ,30050.00 
1 ,9.00 ,56902.00 ,-7877.00 ,3.00 ,28999.00 
1 ,49.00 ,55658.00 ,-4836.00 ,3.00 ,29384.00 
0 ,-15.00 ,55427.00 ,-6044.00 ,39.00 ,28118.00 
0 ,-61.00 ,56537.00 ,-6687.00 ,-9.00 ,27229.00 
0 ,62.00 ,55132.00 ,-5075.00 ,21.00 ,27985.00 
1 ,151.00 ,57313.00 ,2715.00 ,28.00 ,37470.00 
0 ,-45.00 ,57710.00 ,-5270.00 ,15.00 ,32826.00 
0 ,-141.00 ,52382.00 ,-8763.00 ,-33.00 ,26283.00 
1 ,75.00 ,49125.00 ,-2057.00 ,15.00 ,29886.00 
0 ,-1.00 ,44477.00 ,-1184.00 ,20.00 ,28284.00 
0 ,-11.00 ,39832.00 ,1550.00 ,-3.00 ,35430.00 
0 ,6.00 ,28388.00 ,-506.00 ,52.00 ,36299.00 
1 ,158.00 ,18493.00 ,7427.00 ,32.00 ,32489.00 
1 ,166.00 ,59075.00 ,13035.00 ,78.00 ,37864.00 
0 ,44.00 ,58397.00 ,7813.00 ,28.00 ,33852.00 
1 ,13.00 ,56345.00 ,6033.00 ,32.00 ,29896.00 
0 ,-4.00 ,57032.00 ,7752.00 ,-14.00 ,31972.00 
0 ,28.00 ,56320.00 ,6649.00 ,18.00 ,30466.00 
1 ,82.00 ,58030.00 ,10709.00 ,16.00 ,34559.00 
0 ,-139.00 ,58303.00 ,9165.00 ,27.00 ,33132.00 
1 ,-87.00 ,59816.00 ,8970.00 ,-143.00 ,34112.00 
0 ,-68.00 ,58649.00 ,-721.00 ,-27.00 ,27180.00 
1 ,183.00 ,62155.00 ,7397.00 ,21.00 ,35765.00 
1 ,-6.00 ,61423.00 ,2304.00 ,4.00 ,31564.00 
1 ,44.00 ,61589.00 ,3112.00 ,-17.00 ,32355.00 
0 ,-72.00 ,62016.00 ,-2517.00 ,50.00 ,29329.00 
1 ,-94.00 ,59818.00 ,-914.00 ,-44.00 ,30267.00 
0 ,-155.00 ,59488.00 ,-6706.00 ,-39.00 ,27985.00 
1 ,-23.00 ,56812.00 ,-2632.00 ,-70.00 ,29983.00 
1 ,-51.00 ,52753.00 ,-3260.00 ,14.00 ,29592.00 
1 ,-34.00 ,44585.00 ,-291.00 ,-47.00 ,35464.00 
1 ,-63.00 ,34859.00 ,-5732.00 ,-62.00 ,39902.00 
0 ,-77.00 ,25078.00 ,-8893.00 ,-9.00 ,27612.00 
0 ,118.00 ,59456.00 ,-7209.00 ,58.00 ,26892.00 
1 ,173.00 ,57614.00 ,5332.00 ,104.00 ,35841.00 
1 ,117.00 ,62762.00 ,10107.00 ,14.00 ,39008.00 
0 ,26.00 ,61247.00 ,9180.00 ,40.00 ,36710.00 
1 ,57.00 ,61886.00 ,10169.00 ,6.00 ,37563.00 
1 ,2.00 ,61634.00 ,10485.00 ,-5.00 ,37082.00 
1 ,54.00 ,62601.00 ,10212.00 ,-3.00 ,37089.00 
1 ,18.00 ,62275.00 ,9768.00 ,8.00 ,36957.00 
1 ,65.00 ,65073.00 ,14488.00 ,-10.00 ,40987.00 
0 ,-23.00 ,63036.00 ,10873.00 ,11.00 ,37325.00 
0 ,-48.00 ,62222.00 ,11833.00 ,0.00 ,37651.00 
